Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,28.9,28.5,29.2,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,46.3,42.5,49.8,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COREM,CrdPrv,Core preventive services for older men
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,77.7,75.8,79.4,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography
2018,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,31.6,30.8,32.4,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,76.4,76,76.8,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup
2019,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,20.3,19.9,20.6,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,43.6,40.7,46.3,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,26.2,25.6,26.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,7.2,6.9,7.5,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DIABETES,CrdPrv,Diabetes
2019,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,13.4,12.2,14.8,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking
2019,NC,North Carolina,Cornelius,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,9.1,8.6,9.7,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,NC,North Carolina,Cornelius,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,69.7,69,70.3,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,20.5,20,21,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,20.4,19.8,21,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,47.1,43.7,50.4,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men
2019,NC,North Carolina,Cornelius,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,11.8,11,12.8,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,NC,North Carolina,Cornelius,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,11.7,10.9,12.6,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,GHLTH,AgeAdjPrv,General Health
2019,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,17,16,18.1,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,NC,North Carolina,Cornelius,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.2,11.6,12.8,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2019,NC,North Carolina,Cornelius,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,8.9,8.4,9.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health
2019,NC,North Carolina,Cornelius,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,88.2,87.6,88.7,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.2,6.9,7.5,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes
2018,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,7.7,6.2,9.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,76.9,75.5,78.2,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,DENTAL,AgeAdjPrv,Dental Visit
2019,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,76.1,75.6,76.5,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,76.5,75.1,77.9,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.2,2.1,2.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,STROKE,CrdPrv,Stroke
2019,NC,North Carolina,Cornelius,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.5,88,89,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.2,8,8.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2019,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,14.2,12.9,15.6,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,8.2,8,8.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,72.1,70.4,73.5,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,25.4,24.7,26.1,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,OBESITY,CrdPrv,Obesity
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,72.4,70.8,73.8,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,43.8,40.7,46.8,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,NC,North Carolina,Cornelius,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,11.9,11,13,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance
2019,NC,North Carolina,Cornelius,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,11.8,10.9,12.9,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,ACCESS2,CrdPrv,Health Insurance
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,80,78.4,81.5,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.5,4.2,4.7,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease
