name1,name2,street1,street2,city,state,zip,zip4,county,phone,website,latitude,longitude,type_facility
Blanchard Institute,,19902 North Cove Road,,Huntersville,NC,28078,,Mecklenburg,704-584-4111,https://theblanchardinstitute.com,35.479538,-80.892937,SU
Blanchard Institute,,19902 North Cove Road,,Huntersville,NC,28078,,Mecklenburg,704-584-4111,https://theblanchardinstitute.com,35.479538,-80.892937,MH
Atrium Health,Mindy Ellen Levine Behavioral Hlth Ctr,16740 Davidson Concord Road,Administration,Davidson,NC,28036,,Mecklenburg,704-801-9400,https://atriumhealth.org,35.4493568,-80.7851299,MH
RAPHA Healthcare Services,,207 South Broad Street,Suite 5,Mooresville,NC,28115,3189,Iredell,919-667-6679,https://,35.5821259,-80.8145511,SU
RAPHA Healthcare Services,,207 South Broad Street,Suite 5,Mooresville,NC,28115,3189,Iredell,919-667-6679,https://,35.5821259,-80.8145511,MH
Southern Family Medicine Inc,Main,400 East Statesville Avenue,Suite 200,Mooresville,NC,28115,2355,Iredell,704-360-8486,https://www.southernfamilymedicine.org,35.5804698,-80.8038108,SU
Behavioral Health Services of,Lake Norman,125 Overhill Drive,Suite 105,Mooresville,NC,28117,,Iredell,704-450-8904,https://NPCtherapy.com,35.5991162,-80.8490099,SU
Behavioral Health Services of,Lake Norman,125 Overhill Drive,Suite 105,Mooresville,NC,28117,,Iredell,704-450-8904,https://NPCtherapy.com,35.5991162,-80.8490099,MH
Kintegra at St James, Elementary,1774 Saint James Church Rd,,Denver,NC,28037,7515,,704-736-1958,https://www.kintegra.org,35.48534268,-81.01632047,HRSA
Kintegra at Catawba Springs, Elementary,206 N Little Egypt Rd,,Denver,NC,28037,8015,,704-736-1895,https://www.kintegra.org,35.45576395,-81.02137006,HRSA
Kintegra at Rock Springs, Elementary,3633 N NC 16 Business Hwy,,Denver,NC,28037,8268,,704-483-2281,https://www.kintegra.org,35.52950584,-81.02573326,HRSA
